Date,Australia,China,Japan,"Korea, South",Malaysia
2020-01-22,0.0,0.01945357984553991,0.0,0.0,0.0
2020-01-23,0.0,0.020843121263078475,0.0,0.0,0.0
2020-01-24,0.0,0.02501174551569417,0.0,0.0,0.0
2020-01-25,0.0,0.027096057642002017,0.0,0.0,0.0
2020-01-26,0.0,0.03404376472969484,0.00790660959433392,0.0,0.0
2020-01-27,0.0,0.04029670110861838,0.00790660959433392,0.0,0.0
2020-01-28,0.0,0.07017184158569753,0.00790660959433392,0.0,0.0
2020-01-29,0.0,0.0833724850523139,0.00790660959433392,0.0,0.0
2020-01-30,0.07843172933649424,0.09379404568385313,0.00790660959433392,0.0,0.0
2020-01-31,0.07843172933649424,0.14868093167662647,0.00790660959433392,0.0,0.0
2020-02-01,0.07843172933649424,0.1910619449115527,0.00790660959433392,0.0,0.0
2020-02-02,0.07843172933649424,0.32167883816017784,0.00790660959433392,0.0,0.0
2020-02-03,0.07843172933649424,0.42658921518433945,0.00790660959433392,0.0,0.0
2020-02-04,0.07843172933649424,0.5856917074925051,0.00790660959433392,0.0,0.0
2020-02-05,0.07843172933649424,0.7746693402777499,0.00790660959433392,0.0,0.0
2020-02-06,0.07843172933649424,1.0261763368522303,0.00790660959433392,0.0,0.0
2020-02-07,0.07843172933649424,1.3888466468297958,0.00790660959433392,0.01950489363152545,0.03089662086438302
2020-02-08,0.07843172933649424,1.8036247599650574,0.00790660959433392,0.01950489363152545,0.03089662086438302
2020-02-09,0.07843172933649424,2.2364669115283204,0.00790660959433392,0.05851468089457634,0.03089662086438302
2020-02-10,0.07843172933649424,2.722111636958049,0.03162643837733568,0.05851468089457634,0.03089662086438302
2020-02-11,0.07843172933649424,3.2209570058543937,0.07115948634900529,0.05851468089457634,0.09268986259314907
2020-02-12,0.07843172933649424,3.5308247419654935,0.07115948634900529,0.13653425542067815,0.09268986259314907
2020-02-13,0.31372691734597696,4.31938949641863,0.07115948634900529,0.13653425542067815,0.09268986259314907
2020-02-14,0.31372691734597696,5.542185943852566,0.07115948634900529,0.13653425542067815,0.09268986259314907
2020-02-15,0.31372691734597696,6.4599780501367885,0.09487931513200706,0.17554404268372903,0.21627634605068113
2020-02-16,0.31372691734597696,7.472258972813633,0.09487931513200706,0.17554404268372903,0.21627634605068113
2020-02-17,0.3921586466824712,8.658232572682797,0.09487931513200706,0.1950489363152545,0.21627634605068113
2020-02-18,0.3921586466824712,9.869912688776427,0.10278592472634097,0.23405872357830537,0.4016560712369793
2020-02-19,0.3921586466824712,11.089930053375287,0.14231897269801058,0.23405872357830537,0.4634493129657453
2020-02-20,0.3921586466824712,12.515599547769856,0.14231897269801058,0.3120782981044072,0.4634493129657453
2020-02-21,0.4313745113507183,12.994991336820659,0.17394541107534628,0.3120782981044072,0.4634493129657453
2020-02-22,0.4313745113507183,15.770600318353942,0.17394541107534628,0.3120782981044072,0.4634493129657453
2020-02-23,0.4313745113507183,16.109648424233352,0.17394541107534628,0.35108808536745806,0.4634493129657453
2020-02-24,0.4313745113507183,17.3796892798636,0.17394541107534628,0.35108808536745806,0.5561391755588944
2020-02-25,0.4313745113507183,19.228474135898665,0.17394541107534628,0.4291076598935598,0.5561391755588944
2020-02-26,0.4313745113507183,20.901482002615097,0.17394541107534628,0.4291076598935598,0.5561391755588944
2020-02-27,0.4313745113507183,22.87879943977247,0.17394541107534628,0.4291076598935598,0.5561391755588944
2020-02-28,0.4313745113507183,25.240325078879263,0.17394541107534628,0.4291076598935598,0.5561391755588944
2020-02-29,0.4313745113507183,27.318384268808188,0.25301150701868547,0.5266321280511871,0.5561391755588944
2020-03-01,0.4313745113507183,29.29292262313049,0.25301150701868547,0.5851468089457634,0.5561391755588944
2020-03-02,0.4313745113507183,31.163245371137396,0.25301150701868547,0.5851468089457634,0.5561391755588944
2020-03-03,0.4313745113507183,32.96687013110245,0.3399842125563586,0.5851468089457634,0.6797256590164265
2020-03-04,0.4313745113507183,34.739230209172895,0.3399842125563586,0.7997006388925433,0.6797256590164265
2020-03-05,0.8235331580331894,36.33094990296332,0.3399842125563586,0.7997006388925433,0.6797256590164265
2020-03-06,0.8235331580331894,37.478711113850174,0.36370404133936035,2.633160640255935,0.6797256590164265
2020-03-07,0.8235331580331894,38.58687039433718,0.600902329169378,2.633160640255935,0.7106222798808095
2020-03-08,0.8235331580331894,39.87150143485159,0.600902329169378,2.301577448520003,0.7415189007451926
2020-03-09,0.8235331580331894,40.85529675846889,0.600902329169378,2.301577448520003,0.7415189007451926
2020-03-10,0.8235331580331894,41.81199602444419,0.798567569027726,4.817708726986786,0.7415189007451926
2020-03-11,0.8235331580331894,42.82844557137365,0.9329799321314027,5.617409365879329,0.8033121424739585
2020-03-12,0.8235331580331894,43.70177235229664,0.9329799321314027,6.495129579297974,0.8033121424739585
2020-03-13,0.9019648873696837,44.60150042015286,0.9329799321314027,9.947495752077979,0.8033121424739585
2020-03-14,0.9019648873696837,45.618644737791094,0.9329799321314027,9.947495752077979,1.0813817302534057
2020-03-15,0.9019648873696837,46.56144858959101,0.9329799321314027,9.947495752077979,1.297658076304087
2020-03-16,0.9019648873696837,47.181878832521974,1.1385517815840847,22.177064059044433,1.297658076304087
2020-03-17,0.9019648873696837,47.798835221909094,1.1385517815840847,27.443385339556304,1.5139344223547682
2020-03-18,0.9019648873696837,48.4637307902013,1.1385517815840847,30.03753619254919,1.8537972518629813
2020-03-19,1.019612481374425,49.00565194304134,1.1859914391500883,30.03753619254919,2.3172465648287264
