Date,Australia,China,Japan,"Korea, South",Malaysia
2020-01-22,0.0,0.011811102049077801,0.0,0.0,0.0
2020-01-23,0.0,0.012505872757847085,0.0,0.0,0.0
2020-01-24,0.0,0.018064038428001344,0.0,0.0,0.0
2020-01-25,0.0,0.029180369768309865,0.0,0.0,0.0
2020-01-26,0.0,0.03890715969107982,0.0,0.0,0.0
2020-01-27,0.0,0.05697119811908116,0.0,0.0,0.0
2020-01-28,0.0,0.091014962848776,0.0,0.0,0.0
2020-01-29,0.0,0.09240450426631457,0.0,0.0,0.0
2020-01-30,0.0,0.11880579119954732,0.0,0.0,0.0
2020-01-31,0.0,0.1479861609678572,0.0,0.0,0.0
2020-02-01,0.0,0.17994561357124417,0.0,0.0,0.0
2020-02-02,0.0,0.250812225865711,0.0,0.0,0.0
2020-02-03,0.0,0.29527755122694505,0.0,0.0,0.0
2020-02-04,0.0,0.3411324180057177,0.0,0.0,0.0
2020-02-05,0.0,0.391155909037106,0.0,0.0,0.0
2020-02-06,0.0,0.4397898586509558,0.0,0.0,0.0
2020-02-07,0.0,0.4988453688963448,0.0,0.0,0.0
2020-02-08,0.0,0.5592904205592725,0.0,0.0,0.0
2020-02-09,0.0,0.6287674914362006,0.0,0.0,0.0
2020-02-10,0.0,0.7031079572745139,0.0,0.0,0.0
2020-02-11,0.0,0.7725850281514421,0.0,0.0,0.0
2020-02-12,0.0,0.7760588816952886,0.0,0.0,0.0
2020-02-13,0.0,0.9511411003051478,0.00790660959433392,0.0,0.0
2020-02-14,0.0,1.0567462480380787,0.00790660959433392,0.0,0.0
2020-02-15,0.0,1.1554036886833168,0.00790660959433392,0.0,0.0
2020-02-16,0.0,1.226965071686553,0.00790660959433392,0.0,0.0
2020-02-17,0.0,1.2950526011459425,0.00790660959433392,0.0,0.0
2020-02-18,0.0,1.3916257296648729,0.00790660959433392,0.0,0.0
2020-02-19,0.0,1.4701348197558017,0.00790660959433392,0.0,0.0
2020-02-20,0.0,1.554896846225654,0.00790660959433392,0.01950489363152545,0.0
2020-02-21,0.0,1.554896846225654,0.00790660959433392,0.0390097872630509,0.0
2020-02-22,0.0,1.697324841523357,0.00790660959433392,0.0390097872630509,0.0
2020-02-23,0.0,1.6987143829408957,0.00790660959433392,0.11702936178915269,0.0
2020-02-24,0.0,1.802929989256288,0.00790660959433392,0.1560391490522036,0.0
2020-02-25,0.0,1.851563938870138,0.00790660959433392,0.1950489363152545,0.0
2020-02-26,0.0,1.8876920157261405,0.01581321918866784,0.23405872357830537,0.0
2020-02-27,0.0,1.90784036628045,0.03162643837733568,0.2535636172098308,0.0
2020-02-28,0.0,1.9384102774662983,0.03162643837733568,0.2535636172098308,0.0
2020-02-29,0.0,1.9710645007784546,0.0395330479716696,0.3120782981044072,0.0
2020-03-01,0.03921586466824712,1.9953814755853791,0.04743965756600353,0.3315831917359326,0.0
2020-03-02,0.03921586466824712,2.024561845353689,0.04743965756600353,0.5461370216827126,0.0
2020-03-03,0.03921586466824712,2.0474892787430754,0.04743965756600353,0.5461370216827126,0.0
2020-03-04,0.07843172933649424,2.0725010242587696,0.04743965756600353,0.6826712771033907,0.0
2020-03-05,0.07843172933649424,2.094733686939387,0.04743965756600353,0.6826712771033907,0.0
2020-03-06,0.07843172933649424,2.114882037493696,0.04743965756600353,0.8192055325240688,0.0
2020-03-07,0.07843172933649424,2.134335617339236,0.04743965756600353,0.8582153197871196,0.0
2020-03-08,0.11764759400474135,2.153789197184776,0.04743965756600353,0.9752446815762723,0.0
2020-03-09,0.11764759400474135,2.1697689234864694,0.0790660959433392,1.0337593624708488,0.0
2020-03-10,0.11764759400474135,2.180885254826778,0.0790660959433392,1.0532642561023742,0.0
2020-03-11,0.11764759400474135,2.1961702104197016,0.11859914391500881,1.1702936178915269,0.0
2020-03-12,0.11764759400474135,2.2038126882161637,0.12650575350934273,1.2873229796806795,0.0
2020-03-13,0.11764759400474135,2.2093708538863184,0.1502255822923445,1.2873229796806795,0.0
2020-03-14,0.11764759400474135,2.2184028731003194,0.17394541107534628,1.4043523414698322,0.0
2020-03-15,0.11764759400474135,2.225350580188012,0.17394541107534628,1.4628670223644087,0.0
2020-03-16,0.11764759400474135,2.2350773701107816,0.21347845904701587,1.4628670223644087,0.0
2020-03-17,0.1960793233412356,2.2441093893247825,0.22929167823568372,1.5798963841535614,0.06179324172876604
2020-03-18,0.2352951880094827,2.2517518671212446,0.22929167823568372,1.6384110650481376,0.06179324172876604
2020-03-19,0.2352951880094827,2.257310032791399,0.22929167823568372,1.7749453204688157,0.06179324172876604
2020-03-20,0.27451105267772985,2.2600891156264757,0.2609181166130194,1.8334600013633922,0.09268986259314907
2020-03-21,0.27451105267772985,2.2642577398790915,0.27673133580168724,1.9894991504155957,0.12358648345753208
2020-03-22,0.27451105267772985,2.274679300510631,0.3241709933676908,2.165043193099325,0.30896620864383023
2020-03-23,0.27451105267772985,2.274679300510631,0.3320776029620247,2.165043193099325,0.43255269210136227
2020-03-24,0.31372691734597696,2.2795426954720157,0.3399842125563586,2.3405872357830537,0.4943459338301283
2020-03-25,0.31372691734597696,2.2823217783070926,0.3557974317450265,2.457616597572206,0.6179324172876605
2020-03-26,0.5098062406872125,2.2864904025597084,0.3716106509336943,2.555141065729834,0.7106222798808095
2020-03-27,0.5098062406872125,2.289964256103555,0.3874238701223621,2.711180214782037,0.8033121424739585
2020-03-28,0.5490221053554597,2.292048568229863,0.4111436989053639,2.8087046829396645,0.8342087633383416
